Country Name,Country Code,Series Name,Series Code,2015,2016,2017,2018,2019
Afghanistan,AFG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,28.6,30.299999,32.200001,34.099998,36
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.5,97.7,97.7,98.71562195,97.7
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.232175631,0.208857196,0.203327569,0.200151071,..
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.26,..,..,..,..
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.994575823,0.956772141,0.9452268,1.006746292,1.118230603
Afghanistan,AFG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,53.2,51.3,49.5,47.9,46.4
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,57.27106807,61.05463771,65.92913406,59.12084823,59.3560197
Albania,ALB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,75.900002,77.599998,78.800003,79.699997,80.699997
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.98,99.89,99.89,100,100
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.759987059,1.714126173,1.948872038,1.939731563,..
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,56.9,59.6,62.4,65.4,68.55039112
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.162303864,1.103581009,1.108696386,1.16126613,1.291087114
Albania,ALB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.5,8.4,8.4,8.5,8.6
Albania,ALB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,117.6592183,116.7444442,125.7103519,94.17699827,91.29301538
Algeria,DZA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.400002,99.300003,99.300003,99.300003,99.300003
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.18688965,99.40287018,99.61513519,99.641922,99.5
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.674232947,3.535019927,3.505747662,3.591657418,..
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,38.2,42.94552688,47.69105515,49.03846808,57.5
