,Country Name,Country Code,Year,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),CO2 emissions (metric tons per capita),Individuals using the Internet (% of population),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)"
0,Afghanistan,AFG,2015,28.6,71.5,0.232175631,8.26,0.994575823,57.27106807,53.2
1,Afghanistan,AFG,2016,30.299999,97.7,0.208857196,..,0.956772141,61.05463771,51.3
2,Afghanistan,AFG,2017,32.200001,97.7,0.203327569,..,0.9452268,65.92913406,49.5
3,Afghanistan,AFG,2018,34.099998,98.71562195,0.200151071,..,1.006746292,59.12084823,47.9
4,Afghanistan,AFG,2019,36,97.7,..,..,1.118230603,59.3560197,46.4
5,Albania,ALB,2015,75.900002,99.98,1.759987059,56.9,1.162303864,117.6592183,8.5
6,Albania,ALB,2016,77.599998,99.89,1.714126173,59.6,1.103581009,116.7444442,8.4
7,Albania,ALB,2017,78.800003,99.89,1.948872038,62.4,1.108696386,125.7103519,8.4
8,Albania,ALB,2018,79.699997,100,1.939731563,65.4,1.16126613,94.17699827,8.5
9,Albania,ALB,2019,80.699997,100,..,68.55039112,1.291087114,91.29301538,8.6
10,Algeria,DZA,2015,99.400002,99.18688965,3.674232947,38.2,6.270242856,108.8089403,21.6
11,Algeria,DZA,2016,99.300003,99.40287018,3.535019927,42.94552688,6.384928983,116.0042077,21.3
12,Algeria,DZA,2017,99.300003,99.61513519,3.505747662,47.69105515,5.924383327,110.7672465,20.9
13,Algeria,DZA,2018,99.300003,99.641922,3.591657418,49.03846808,5.467824356,111.6647921,20.4
14,Algeria,DZA,2019,99.300003,99.5,..,57.5,6.021045994,105.510594,20
15,American Samoa,ASM,2015,..,..,..,..,..,..,..
16,American Samoa,ASM,2016,..,..,..,..,..,..,..
17,American Samoa,ASM,2017,..,..,..,..,..,..,..
18,American Samoa,ASM,2018,..,..,..,..,..,..,..
19,American Samoa,ASM,2019,..,..,..,..,..,..,..
20,Andorra,AND,2015,100,100,6.026181837,..,..,91.44351438,3.1
21,Andorra,AND,2016,100,100,6.080600298,..,..,98.49282637,2.9
