,Rank,Country,Country Code,Year,Score,GDP,Family,HealthyLife,Freedom,Generosity,Corruption,CleanCooking,ElectricAccess,CO2,InternetAccess,MilitaryGDP,MobileSubs,InfantMortality
0,153,Afghanistan,AFG,2015,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719,28.6,71.5,0.232175631,8.26,0.994575823,57.27106807,53.2
1,154,Afghanistan,AFG,2016,3.36,0.38227,0.11037,0.17344,0.1643,0.31268,0.07112,30.299999,97.7,0.208857196,,0.956772141,61.05463771,51.3
2,141,Afghanistan,AFG,2017,3.79399991035461,0.401477217674255,0.581543326377869,0.180746778845787,0.106179520487785,0.311870932579041,0.0611578300595284,32.200001,97.7,0.203327569,,0.9452268,65.92913406,49.5
3,145,Afghanistan,AFG,2018,3.632,0.332,0.537,0.255,0.085,0.191,0.036,34.099998,98.71562195,0.200151071,,1.006746292,59.12084823,47.9
4,154,Afghanistan,AFG,2019,3.203,0.35,0.517,0.361,0.0,0.158,0.025,36.0,97.7,,,1.118230603,59.3560197,46.4
5,95,Albania,ALB,2015,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,75.900002,99.98,1.759987059,56.9,1.162303864,117.6592183,8.5
6,109,Albania,ALB,2016,4.655,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301,77.599998,99.89,1.714126173,59.6,1.103581009,116.7444442,8.4
7,109,Albania,ALB,2017,4.64400005340576,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.201312944293022,0.0398642159998417,78.800003,99.89,1.948872038,62.4,1.108696386,125.7103519,8.4
8,112,Albania,ALB,2018,4.586,0.916,0.817,0.79,0.419,0.149,0.032,79.699997,100.0,1.939731563,65.4,1.16126613,94.17699827,8.5
9,107,Albania,ALB,2019,4.719,0.947,0.848,0.874,0.383,0.178,0.027,80.699997,100.0,,68.55039112,1.291087114,91.29301538,8.6
10,68,Algeria,DZA,2015,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,99.400002,99.18688965,3.674232947,38.2,6.270242856,108.8089403,21.6
11,38,Algeria,DZA,2016,6.355,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157,99.300003,99.40287018,3.535019927,42.94552688,6.384928983,116.0042077,21.3
12,53,Algeria,DZA,2017,5.87200021743774,1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,0.0694366469979286,0.146096110343933,99.300003,99.61513519,3.505747662,47.69105515,5.924383327,110.7672465,20.9
13,84,Algeria,DZA,2018,5.295,0.979,1.154,0.687,0.077,0.055,0.135,99.300003,99.641922,3.591657418,49.03846808,5.467824356,111.6647921,20.4
14,88,Algeria,DZA,2019,5.211,1.002,1.16,0.785,0.086,0.073,0.114,99.300003,99.5,,57.5,6.021045994,105.510594,20.0
15,137,Angola,AGO,2015,4.033,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122,47.299999,42.0,1.260920989,29.0,3.105426293,49.79322295,57.7
16,141,Angola,AGO,2016,3.866,0.84731,0.66366,0.04991,0.00589,0.12071,0.08434,47.799999,41.79737854,1.227702942,29.0,2.733340655,45.07629005,55.5
